name,website,address,latitude,longitude,description,phone
EAST MIDDLEBURY GORGE,http://www.swimmingholes.org/vt.html,,43.97053,-73.08593,"From Middlebury, follow RT 7 south from the center of Middlebury for approximately 4 miles. Bear left onto RT 125. Follow Route 125 approximately 1.5 miles to a sharp right turn onto the bridge that crosses the Middlebury River.",
EGYPT,http://www.swimmingholes.org/vt.html,,43.12103,-72.46039,"Take I91 North or South to exit 5 (Westminster/Bellows Falls). Follow route 5 North into Bellows Falls. At the first traffic light on the edge of Bellows Falls, take a left onto route 121 and go up the hill. Follow this road for approximately 2 miles and then on the left of the road as the road curves to the right will appear two industrial buildings in Gageville or north Westminster. Immediately before them is a dirt road which goes down to the river; take this road. Follow the road downhill, stay to the right at the bottom of the hill and proceed slightly uphill for roughly half a mile. The waterfall is on the left of the road. Not a huge amount of parking.",
FALLS OF LANA ,http://www.swimmingholes.org/vt.html,,43.90403,-73.06274,"From Middlebury, follow RT 7 south approximately 7 miles to the intersection with RT 53. Take a left on RT 53 and follow it around Lake Dunmore. In approximately 3.25 miles you will reach Branbury State park on your right. Just past the state park you'll see a large parking area on your left for the Falls of Lana. Park here and follow the well worn path uphill. The terrain will eventually level out and you will pass under a very large pipe that crosses the path. Just past the pipe, follow the un-obvious path to the left and make your way steeply downhill following the sound of the water.",
FLOATING BRIDGE ,http://www.swimmingholes.org/vt.html,,44.04283,-72.60474,"Take exit 4 form I-89. Follow RT 66 east toward Randolph Center. At the next intersection, take a left to remain on RT 66. In a short distance, you will reach a ""Y"" intersection where RT 66 goes off to the right. Bear left onto Ridge Rd. In approximately 5 miles, Ridge Rd will intersect the Brookfield State Highway. Take a left and you will travel downhill to the floating bridge in the center of Brookfield.",
FOUR CORNERS ,http://www.swimmingholes.org/vt.html,,44.96256,-72.41617,"From Stowe, take RT 100 north about 35 miles to Lowell. (See also ""Trout River Falls"" near here.) In Lowell continue north on RT 100 through Westfield to Troy. In Troy, take RT 101 north. On RT 101, less than a mile after you pass the intersection of RT 101 and RT 242, is the Jay Four Corners convenience store. The swimming hole is directly across the street from the Jay Four Corners convenience store. There is a large dirt parking lot, you can't miss it.",
GLEN LAKE ,http://www.swimmingholes.org/vt.html,,43.66417,-73.23917,"From Rutland, take RT 4 west to Exit 3, Scotch Hill Rd. Go north (right) on Scotch Hill Rd. (becomes Glen Lake Rd.) to Bomoseen State Park. In Bomoseen State Park, turn north (left) onto Moscow Rd., go past the canoe launch. In less than a mile turn left onto another Bomoseen State Park access (marked by a sign) where you enter a clearing where you can park if this road (trail?) is unsuitable for your vehicle. It is not very far down to the north shore of Glen Lake, and a hiking trail parallel with the shore goes both ways. You can take the trail either way, but especially to the right - westward - to little semi-private beaches for swimming. Typically, clothing optional.",
HAPGOOD POND ,http://www.swimmingholes.org/vt.html,,43.25389,-72.89111,"From Manchester, take RT 11 NE into Peru. Take Hapgood Pond Rd about 2 mi to campground.",
KENTS CORNER AREA ,http://www.swimmingholes.org/vt.html,,44.36902,-72.48497,"From Montpelier, take RT2 north then RT14 north to East Calais. From East Calais, go west on unnamed roads to Kent's Corner. Swimming holes are in this area in the Beaver Pond, Winooski River and other streams.",
THE LEDGES ,http://www.swimmingholes.org/vt.html,,42.836117,-72.877478,"From Brattleboro, take RT 9 W. Before you get to Wilmington, go S on RT 100 to the Harriman Reservoir. Go ~0.2 miles, pass Dix Rd on your left and then turn right on to Boyd Hill Rd. Go down this dirt road for about a mile to the parking area for the Jacksonville Picnic Area (there is swimming at the picnic area also). Follow the trail to the right of the picnic area into the woods. When you see nude bathers, you are there. There are several rocky areas to swim from along this path.",
THE MILL ,http://www.swimmingholes.org/vt.html,,44.3775,-72.55767,"From Montpelier, follow RT 12 North to the town of Worcester. Take the next immediate left onto Minister Brook Road. In less than 0.5 miles, you will see an extensive No Parking area along the road. The swimming hole is here on the left down a slight embankment.",
OSGOOD BROOK CULVERT,http://www.swimmingholes.org/vt.html,,43.93448,-72.54642,"From Montpelier, go south on I-89 to Exit 4, Randolph. Take RT 66 east through Randolph Center to East Randolph. In East Randolph, turn south (right) onto RT 14 then in a short distance turn east (left) onto Tunbridge Rd. (dirt road). Go about .5 miles up this road and the swimming hole is very near here. No better directions.",
THE POWER STATION ,http://www.swimmingholes.org/vt.html,,43.63701,-72.97646,"From the intersection of RT 4 and RT 7 in Rutland, follow RT 7 north to the last traffic light at Post Road. From the light you can see the Central Vermont Public Service's Glen Station (a power generation plant) on the left one-tenth of a mile further. After the Post Road light, turn left into the parking area on the south side of the power station.",
QUECHEE GORGE ,http://www.swimmingholes.org/vt.html,,43.63194,-72.41111,"From White River Junction, take RT 4 west to signs for Quechee Gorge State Park Park in the large paved parking areas and follow the path under the bridge and down the hill to the large swimming area in the river.",
ROCHESTER,http://www.swimmingholes.org/vt.html,,43.83105,-72.79192,"From Rutland, take RT 4 east to RT 100 north to Stockbridge. Stay on RT 100 north as it turns in Stockbridge, continue on to Rochester. Swimming/tubing place is in White River near Rochester.",
TIMBER CRIB DAM ,http://www.swimmingholes.org/vt.html,,42.77547,-72.66765,"Take Route 5 South from Brattleboro to Guilford. When you reach the Guilford Country store, take a right onto Guilford Center Road. Stay on this for 4.7 miles until the pavement ends. Bear right onto Stage Road (some maps refer to this as Jacksonville Stage Road, however, the signpost here reads Stage Road). A sign at this intersection reads ""2.5 mi to Green River"". At 2.5 miles, you will see the covered bridge on your left. Bear left down the hill, cross the bridge and take an immediate left onto Green River Road. Park anywhere along this road.",
TOLLES HILL DAM ,http://www.swimmingholes.org/vt.html,,43.3753,-72.4999,"In Perkinsville, turn east onto Maple St just south of the village center. Continue on Maple St into the flood control area. Bear left (north) at T intersection in flood control area. Road bears left just before reaching the Black River. Parking, dam and swimming hole are a short distance west.",
WHITE RIVER,http://www.swimmingholes.org/vt.html,,43.7123,-72.41745,"From White River Junction, follow RT 14 west for approximately 7 miles. The bridge will be on your left just past the intersection with the interstate highway. There is a small store called Rick & Tina's on the right side of RT 14 from the bridge. The road that goes over the bridge is Quechee-W. Hartford Rd. There is a small parking area along RT 14 and a small path to get below the bridge. ",
